"codigo_comarca";"nome_comarca";"ano";"novos";"denuncias";"arquivamentos";"finalizados";"taxa_denuncia";"taxa_arquivamento";"taxa_finalizacao"
42;"Natividade";2021;10;0;0;0;0;0;0
43;"Nilópolis";2021;12;0;0;0;0;0;0
44;"Niterói";2021;464;8;9;17;1,7;1,9;3,7
45;"Nova Friburgo";2021;207;1;28;29;0,5;13,5;14
46;"Nova Iguaçu";2021;674;27;23;50;4;3,4;7,4
47;"Paracambi";2021;25;9;1;10;36;4;40
48;"Paraíba do Sul";2021;63;5;3;8;7,9;4,8;12,7
49;"Paraty";2021;9;0;0;0;0;0;0
50;"Paty do Alferes";2021;27;1;0;1;3,7;0;3,7
51;"Petrópolis";2021;216;10;4;14;4,6;1,9;6,5
52;"Pinheiral";2021;23;2;4;6;8,7;17,4;26,1
53;"Piraí";2021;26;5;1;6;19,2;3,8;23,1
54;"Porciúncula";2021;40;3;1;4;7,5;2,5;10
55;"Porto Real-Quatis";2021;9;0;0;0;0;0;0
56;"Queimados";2021;22;8;1;9;36,4;4,5;40,9
57;"Resende";2021;96;13;8;21;13,5;8,3;21,9
58;"Rio Bonito";2021;52;3;1;4;5,8;1,9;7,7
59;"Rio Claro";2021;11;0;1;1;0;9,1;9,1
60;"Rio Das Flores";2021;2;0;0;0;0;0;0
61;"Rio Das Ostras";2021;39;1;5;6;2,6;12,8;15,4
62;"Santa Maria Madalena";2021;12;0;0;0;0;0;0
63;"Santo Antônio de Pádua";2021;131;0;3;3;0;2,3;2,3
64;"São Fidélis";2021;14;0;0;0;0;0;0
65;"São Francisco do Itabapoana";2021;31;0;0;0;0;0;0
66;"São Gonçalo";2021;337;5;3;8;1,5;0,9;2,4
67;"São João da Barra";2021;42;1;3;4;2,4;7,1;9,5
68;"São João de Meriti";2021;15;0;9;9;0;60;60
69;"São José do Vale do Rio Preto";2021;2;0;0;0;0;0;0
70;"São Pedro da Aldeia";2021;55;0;0;0;0;0;0
71;"São Sebastião do Alto";2021;2;0;0;0;0;0;0
72;"Sapucaia";2021;15;0;2;2;0;13,3;13,3
74;"Seropédica";2021;28;2;0;2;7,1;0;7,1
75;"Silva Jardim";2021;31;0;2;2;0;6,5;6,5
76;"Sumidouro";2021;8;0;2;2;0;25;25
78;"Teresópolis";2021;95;0;0;0;0;0;0
79;"Trajano de Moraes";2021;13;0;0;0;0;0;0
80;"Três Rios";2021;41;6;2;8;14,6;4,9;19,5
81;"Valença";2021;88;0;4;4;0;4,5;4,5
82;"Vassouras";2021;21;0;1;1;0;4,8;4,8
83;"Volta Redonda";2021;72;0;3;3;0;4,2;4,2
1;"Angra dos Reis";2020;1210;38;38;76;3,1;3,1;6,3
2;"Araruama";2020;1869;333;95;428;17,8;5,1;22,9
3;"Armação dos Búzios";2020;759;47;27;74;6,2;3,6;9,7
4;"Arraial do Cabo";2020;224;26;8;34;11,6;3,6;15,2
5;"Barra do Piraí";2020;1295;57;239;296;4,4;18,5;22,9
6;"Barra Mansa";2020;1357;191;108;299;14,1;8;22
7;"Belford Roxo";2020;452;0;1;1;0;0,2;0,2
8;"Bom Jardim";2020;181;21;20;41;11,6;11;22,7
9;"Bom Jesus do Itabapoana";2020;326;40;48;88;12,3;14,7;27
10;"Cabo Frio";2020;1625;281;233;514;17,3;14,3;31,6
11;"Cachoeiras de Macacu";2020;418;40;48;88;9,6;11,5;21,1
12;"Cambuci";2020;200;5;25;30;2,5;12,5;15
13;"Campos dos Goytacazes";2020;2484;431;70;501;17,4;2,8;20,2
14;"Cantagalo";2020;266;28;49;77;10,5;18,4;28,9
