"codigo_orgao";"nome_orgao";"codigo_comarca";"nome_comarca";"ano";"denuncias";"com_informacao";"sem_informacao";"com_sentenca";"aguardando_sentenca";"sentenca_julgada_procedente";"sentenca_julgada_improcedente";"processo_extinto";"processo_suspenso";"taxa_com_informacao";"taxa_sem_informacao";"taxa_com_sentenca";"taxa_aguardando_sentenca";"taxa_sentenca_julgada_procedente";"taxa_sentenca_julgada_improcedente";"taxa_processo_extinto";"taxa_processo_suspenso"
101322;"PJ junto a 7ª Vara Criminal de Nova Iguaçu";46;"Nova Iguacu";"2016";257;251;6;209;42;142;35;29;3;97,7;2,3;83,3;16,7;67,9;16,7;13,9;1,4
101419;"1ª PJ junto a 1ª Vara Criminal de São João de Meriti";68;"Sao Joao de Meriti";"2016";151;149;2;134;15;119;3;12;0;98,7;1,3;89,9;10,1;88,8;2,2;9;0
921029;"2ª PJ junto a 1ª Vara Criminal de São João de Meriti";68;"Sao Joao de Meriti";"2016";144;142;2;130;12;117;5;7;1;98,6;1,4;91,5;8,5;90;3,8;5,4;0,8
101421;"PJ junto a 2ª Vara Criminal de São João de Meriti";68;"Sao Joao de Meriti";"2016";318;312;6;300;12;257;11;27;5;98,1;1,9;96,2;3,8;85,7;3,7;9;1,7
200409;"1ª PJ junto as Varas Criminais de Belford Roxo";7;"Belford Roxo";"2016";216;204;12;177;27;157;11;9;0;94,4;5,6;86,8;13,2;88,7;6,2;5,1;0
200499;"2ª PJ junto as Varas Criminais de Belford Roxo";7;"Belford Roxo";"2016";179;176;3;163;13;90;43;28;2;98,3;1,7;92,6;7,4;55,2;26,4;17,2;1,2
101273;"PJ junto a 1ª Vara Criminal de Nilópolis";43;"Nilopolis";"2016";162;158;4;150;8;102;26;16;6;97,5;2,5;94,9;5,1;68;17,3;10,7;4
101345;"PJ junto a 1ª Vara Criminal de Petrópolis";51;"Petropolis";"2016";238;234;4;206;28;153;10;42;1;98,3;1,7;88;12;74,3;4,9;20,4;0,5
101346;"PJ junto a 2ª Vara Criminal de Petrópolis";51;"Petropolis";"2016";197;187;10;173;14;102;19;50;2;94,9;5,1;92,5;7,5;59;11;28,9;1,2
400759;"1ª PJ junto a 1ª Vara Criminal de Campos dos Goytacazes";13;"Campos dos Goytacazes";"2016";127;17;110;15;2;7;1;7;0;13,4;86,6;88,2;11,8;46,7;6,7;46,7;0
400732;"2ª PJ junto a 1ª Vara Criminal de Campos dos Goytacazes";13;"Campos dos Goytacazes";"2016";101;6;95;6;0;4;1;1;0;5,9;94,1;100;0;66,7;16,7;16,7;0
101145;"PJ junto a 2ª Vara Criminal de Campos dos Goytacazes";13;"Campos dos Goytacazes";"2016";433;25;408;21;4;10;1;10;0;5,8;94,2;84;16;47,6;4,8;47,6;0
14329590;"PJ junto a 3ª Vara Criminal de Campos dos Goytacazes";13;"Campos dos Goytacazes";"2016";406;18;388;15;3;9;2;2;2;4,4;95,6;83,3;16,7;60;13,3;13,3;13,3
